tmax,Predicted_ARIMA,Predicted_rf
16.0,,21.293596620219738
20.2,,20.847994239036762
22.3,19.520367343751534,20.973818733723427
20.3,20.997885291365456,20.70514835041164
20.7,19.622261275902073,20.90041330740623
19.5,20.32099180581774,21.463004568042464
20.5,19.48528959803529,21.972355494619574
18.3,20.35640962372957,20.094944282598348
22.5,18.661170000255332,21.417098587846535
19.6,21.899485661116884,21.36748600113508
23.1,19.481010461845965,21.200695872926204
24.5,22.396378659662815,22.01369289812353
29.4,23.25335481980682,22.566591294434506
24.1,27.05286543241249,23.37506983520533
21.5,23.250034324614088,21.71287420033583
21.1,22.100540528895024,22.221159396348366
23.5,21.91627589069597,21.980806569419663
27.5,23.5151292361572,22.656213206393083
34.5,26.215835291168545,22.78039148274148
38.6,31.306021767641464,29.34912053121015
24.6,34.44647486983217,23.106240821813323
20.0,24.778332589117735,22.686471321288398
20.7,22.781167616355855,21.80157845005737
23.1,23.043970163650414,22.830177467335492
28.9,24.129105355168747,25.195477359104252
22.4,27.892708170118656,22.877034131104054
19.5,22.760552819713432,23.851889566680168
20.2,21.196438003700575,23.117104429405018
21.9,21.567962506648406,21.95226187362711
22.2,22.39211364144877,22.245734890968208
24.7,22.309196681446988,22.264959836564095
23.6,24.094825978094974,22.63659372958273
23.0,23.183486486667096,22.273218041153786
26.3,22.963260662175788,23.306220892166575
26.3,25.470453896067355,22.73424897070416
22.7,25.34721949044271,20.668562181626182
20.3,22.939728445875254,21.99682083794402
21.1,21.477042095576593,22.327394563580775
21.6,22.006835782785238,22.427569140924653
23.3,22.055769755923514,21.889380643368526
23.2,23.13951260219369,22.386603847549182
26.3,22.932316772831733,22.203904354738675
29.1,25.300794829283074,23.777399317372186
29.8,27.309256909352573,23.500248801475504
31.6,28.006062798906477,25.481287110088797
30.7,29.732295682806733,24.03444056722065
25.7,29.371532410546195,21.689651627378105
27.0,26.122020826907203,22.108174135722834
21.7,27.486936662319838,21.650516160013748
23.6,23.313423418470506,22.584694774581894
22.2,24.840049924263475,22.165353615432185
22.0,23.285838530516305,22.150863297500596
22.7,22.998253399090572,22.348752226565978
28.0,23.274048729581985,21.118004292016863
26.3,26.963245456758138,23.640645970322215
26.6,25.433173251152827,23.78054358349241
24.0,26.05709406337832,22.663765524262526
22.0,24.249353256734896,21.420149000252078
22.2,22.97618306571335,19.95254899670249
22.4,23.074469342583782,20.64315042355907
22.1,22.97237479495647,21.81645471089883
23.1,22.580376926152947,21.645470626745205
22.9,23.223574713709752,21.293735196685503
26.5,22.940395133017343,22.383088274908246
25.6,25.607528350831288,21.51849684213872
24.6,24.805550534264675,22.2631565996956
23.4,24.368457410521557,20.44803436478252
25.3,23.646612237936743,20.96191909489753
25.0,25.108188762207355,21.93887163261148
22.7,24.740944354022812,22.256379533197283
21.7,23.14218665104566,21.979252249824523
19.3,22.525621626411542,25.443030334386712
19.7,20.64115537195624,21.94393707872283
21.8,20.83272814162575,21.199621679099945
25.8,22.0446886671204,20.364275043930586
21.9,24.71619242852347,19.984868683246983
16.8,21.70882841139803,19.541638118203025
18.4,18.39716908622397,19.732551479902114
16.3,19.68599181307951,18.46861054993466
15.6,17.63404999743026,18.42529540807176
16.7,16.98464166007955,19.287559879489624
16.8,17.506048150778025,19.82069237387991
17.1,17.255195228243807,19.897629288067236
17.7,17.3470584518496,17.776662181241942
19.5,17.694228421826825,17.99293186454311
18.3,18.96236247623887,17.113009511412113
17.1,18.03175910803626,17.073842851112605
15.6,17.340165877959535,16.57337048353013
14.7,16.293970150029576,15.966843532458922
13.6,15.602702343045614,16.58205157424161
13.6,14.647224873427657,16.31111526852444
15.2,14.486412131634665,17.028772243223884
17.0,15.43513520204176,17.86326905355559
18.2,16.536969352132292,16.686925296104306
16.6,17.358206540539395,16.701979424060546
17.2,16.27396347827216,16.79463735548206
18.1,16.967325512984644,15.916472705699679
18.2,17.63062875803695,15.418309097723565
